"Sequence.Run","Autosampler.Position","Sample.ID","Project","Sample.Type","Species","Tree.No","Tissue","FID_File","FID_Date","FID_Time","X","X.1","CH4_Area","X.2","X.3","X.4","X.5","CO2_Area","X.6","X.7","ECD_File","ECD_Date","ECD_Time","X.8","X.9","O2_Area","X.10","X.11","X.12","X.13","N2O_Area","X.14","X.15","O2_concentration_uncorrected","N2O_concentration_uncorrected","CH4_concentration_uncorrected","CO2_concentration_uncorrected","O2_concentration","CH4_concentration","CO2_concentration","N2O_concentration"
76,64,"Blank","Internal Gas","Blank","","","","F241010s76.CHR","10/10/2024","20:52:53","CH4",1.36,0.9512,4.4321,"ppm","CO2",1.86,110.9344,200.4249,"ppm","E241010s76.CHR","10/10/2024","20:52:53","O2",1.196,689.5411,0,NA,"N2O",2.16,66.38,0.0733,"ppm",161024.637183218,0.228631285571734,3.80580311879525,235.904505815151,210000,11.4174093563858,707.713517445454,0.685893856715202
77,65,"SM6S","Internal Gas","Sample","Acer saccharum","SM6","sapwood","F241010s77.CHR","10/10/2024","20:58:17","CH4",1.363,1.7269,7.7871,"ppm","CO2",1.87,3845.6384,14002.9439,"ppm","E241010s77.CHR","10/10/2024","20:58:17","O2",1.196,393.348,0,NA,"N2O",2.16,76.4976,0.1148,"ppm",35954.59549606,0.270691987722534,7.52934949612223,16094.4896370653,107863.78648818,22.5880484883667,48283.468911196,0.812075963167602
78,66,"Blank","Internal Gas","Blank","","","","F241010s78.CHR","10/10/2024","21:03:43","CH4",1.366,0.5746,2.8032,"ppm","CO2",1.86,123.4185,246.563,"ppm","E241010s78.CHR","10/10/2024","21:03:43","O2",1.206,660.1384,0,NA,"N2O",2.16,62.6084,0.0579,"ppm",148609.098419097,0.21295205885473,1.99803263316764,277.990826604577,210000,5.99409789950291,833.97247981373,0.63885617656419
79,67,"SM6H","Internal Gas","Sample","Acer saccharum","SM6","heartwood","F241010s79.CHR","10/10/2024","21:09:07","CH4",1.366,1.9344,8.6846,"ppm","CO2",1.873,3239.3782,11762.36,"ppm","E241010s79.CHR","10/10/2024","21:09:07","O2",1.196,412.5652,0,NA,"N2O",2.163,71.6881,0.0951,"ppm",44069.220735846,0.250698022059306,8.52539935211727,13386.9336644695,132207.662207538,25.5761980563518,40160.8009934084,0.752094066177919
80,68,"Blank","Internal Gas","Blank","","","","F241010s80.CHR","10/10/2024","21:14:32","CH4",1.363,1.2691,5.8071,"ppm","CO2",1.86,118.3506,227.8333,"ppm","E241010s80.CHR","10/10/2024","21:14:32","O2",1.206,659.4196,0,NA,"N2O",2.16,66.4445,0.0736,"ppm",148305.57903946,0.2288994237951,5.33179950058234,260.905953435607,210000,15.995398501747,782.717860306822,0.6866982713853
81,69,"SM4S","Internal Gas","Sample","Acer saccharum","SM4","sapwood","F241010s81.CHR","10/10/2024","21:19:57","CH4",1.366,0.6282,3.035,"ppm","CO2",1.866,2576.5142,9312.5827,"ppm","E241010s81.CHR","10/10/2024","21:19:57","O2",1.203,389.022,0,NA,"N2O",2.16,62.6932,0.0582,"ppm",34127.9054065925,0.213304587867775,2.2553255116319,10426.5853153303,102383.716219778,6.76597653489569,31279.7559459909,0.639913763603326
82,70,"Blank","Internal Gas","Blank","","","","F241010s82.CHR","10/10/2024","21:25:22","CH4",1.356,0.4829,2.4066,"ppm","CO2",1.856,111.8452,203.791,"ppm","E241010s82.CHR","10/10/2024","21:25:22","O2",1.196,660.4014,0,NA,"N2O",2.156,62.4196,0.0571,"ppm",148720.152393561,0.212167182938893,1.55785060042188,238.974989147951,210000,4.67355180126563,716.924967443854,0.63650154881668
83,71,"SM4H","Internal Gas","Sample","Acer saccharum","SM4","heartwood","F241010s83.CHR","10/10/2024","21:30:47","CH4",1.36,0.6356,3.067,"ppm","CO2",1.863,2788.9675,10097.7562,"ppm","E241010s83.CHR","10/10/2024","21:30:47","O2",1.203,387.3032,0,NA,"N2O",2.156,64.234,0.0645,"ppm",33402.1275689188,0.219709973519902,2.29084728962883,11375.4010240189,100206.382706756,6.87254186888648,34126.2030720567,0.659129920559705
84,72,"Blank","Internal Gas","Blank","","","","F241010s84.CHR","10/10/2024","21:36:12","CH4",1.363,0.3857,1.9862,"ppm","CO2",1.86,118.7558,229.3308,"ppm","E241010s84.CHR","10/10/2024","21:36:12","O2",1.206,647.793,0,NA,"N2O",2.156,60.2294,0.0481,"ppm",143396.148851249,0.203062123453375,1.09126724619191,262.271961172158,210000,3.27380173857574,786.815883516475,0.609186370360124
85,73,"SM3S","Internal Gas","Sample","Acer saccharum","SM3","sapwood","F241010s85.CHR","10/10/2024","21:41:36","CH4",1.363,42.8936,185.8422,"ppm","CO2",1.866,1807.0812,6468.9534,"ppm","E241010s85.CHR","10/10/2024","21:41:36","O2",1.203,384.4488,0,NA,"N2O",2.16,55.2669,0.0278,"ppm",32196.8330262984,0.182432108981233,123.210841914186,6990.30017792172,96590.4990788951,369.632525742558,20970.9005337652,0.547296326943698
86,74,"Blank","Internal Gas","Blank","","","","F241010s86.CHR","10/10/2024","21:47:01","CH4",1.363,0.5815,2.833,"ppm","CO2",1.863,107.8056,188.8616,"ppm","E241010s86.CHR","10/10/2024","21:47:01","O2",1.206,652.2,0,NA,"N2O",2.163,61.8472,0.0547,"ppm",145257.041875817,0.209787612100837,2.03115429102964,225.356714585831,210000,6.09346287308892,676.070143757494,0.629362836302511
87,75,"SM3H","Internal Gas","Sample","Acer saccharum","SM3","heartwood","F241010s87.CHR","10/10/2024","21:52:26","CH4",1.36,434.272,1878.6402,"ppm","CO2",1.863,2315.0282,8346.1967,"ppm","E241010s87.CHR","10/10/2024","21:52:26","O2",1.203,381.4078,0,NA,"N2O",2.153,55.3343,0.028,"ppm",30912.7450554083,0.182712303031695,2245.88270152352,9258.78973671537,92738.2351662249,6737.64810457055,27776.3692101461,0.548136909095086
88,76,"Blank","Internal Gas","Blank","","","","F241010s88.CHR","10/10/2024","21:57:51","CH4",1.356,2.2592,10.0895,"ppm","CO2",1.856,115.0603,215.6732,"ppm","E241010s88.CHR","10/10/2024","21:57:51","O2",1.196,677.2594,0,NA,"N2O",2.16,61.8398,0.0547,"ppm",155838.585479146,0.209756848955831,10.0845173917664,249.813714404084,210000,30.2535521752991,749.441143212251,0.629270546867492
89,77,"SM1S","Internal Gas","Sample","Acer saccharum","SM1","sapwood","F241010s89.CHR","10/10/2024","22:03:15","CH4",1.356,30.5456,132.4344,"ppm","CO2",1.86,2359.403,8510.1947,"ppm","E241010s89.CHR","10/10/2024","22:03:15","O2",1.193,414.4812,0,NA,"N2O",2.146,60.9898,0.0512,"ppm",44878.2679414446,0.206223244461862,56.2404824808191,9456.96744122698,134634.803824334,168.721447442457,28370.9023236809,0.618669733385585
90,78,"Blank","Internal Gas","Blank","","","","F241010s90.CHR","10/10/2024","22:08:40","CH4",1.366,1.2248,5.6154,"ppm","CO2",1.866,115.0028,215.4607,"ppm","E241010s90.CHR","10/10/2024","22:08:40","O2",1.2,735.6462,0,NA,"N2O",2.166,60.7958,0.0504,"ppm",190415.486333346,0.205416751200885,5.11914885662774,249.619870759336,210000,15.3574465698832,748.859612278008,0.616250253602656
91,79,"SM1H","Internal Gas","Sample","Acer saccharum","SM1","heartwood","F241010s91.CHR","10/10/2024","22:14:05","CH4",1.363,79.7571,345.285,"ppm","CO2",1.866,2826.8742,10237.8498,"ppm","E241010s91.CHR","10/10/2024","22:14:05","O2",1.203,405.6416,0,NA,"N2O",2.153,67.5022,0.0779,"ppm",41145.6720757819,0.233296474940124,323.142964117937,11544.6922161282,123437.016227346,969.428892353811,34634.0766483845,0.699889424820373
92,80,"Blank","Internal Gas","Blank","","","","F241010s92.CHR","10/10/2024","22:19:29","CH4",1.356,0.7342,3.4935,"ppm","CO2",1.853,114.4347,213.3611,"ppm","E241010s92.CHR","10/10/2024","22:19:29","O2",1.196,670.2314,0,NA,"N2O",2.15,57.5824,0.0373,"ppm",152870.953036063,0.19205806334098,2.76415098023659,247.704695549231,210000,8.29245294070976,743.114086647694,0.576174190022939
93,81,"CHK STD","Internal Gas","Standard","","","","F241010s93.CHR","10/10/2024","22:24:54","CH4",1.363,4.4255,19.4592,"ppm","CO2",1.86,614.1337,2060.1219,"ppm","E241010s93.CHR","10/10/2024","22:24:54","O2",1.206,711.8112,0,NA,"N2O",2.156,134.6957,0.3533,"ppm",178816.740728809,0.512632067370126,20.4832778883545,1932.28687705651,210000,61.4498336650636,5796.86063116952,1.53789620211038
94,82,"Blank","Internal Gas","Blank","","","","F241010s94.CHR","10/10/2024","22:30:19","CH4",1.363,0.4352,2.2003,"ppm","CO2",1.86,109.7564,196.0713,"ppm","E241010s94.CHR","10/10/2024","22:30:19","O2",1.206,683.1746,0,NA,"N2O",2.156,65.9042,0.0714,"ppm",158336.328710126,0.226653298491463,1.32887913954977,231.933239493194,210000,3.9866374186493,695.799718479583,0.679959895474389
95,83,"N2","Internal Gas","Standard","","","","F241010s95.CHR","10/10/2024","22:35:45","",NA,NA,NA,"","CO2",1.853,16.5423,0,"ppm","E241010s95.CHR","10/10/2024","22:35:45","O2",1.193,NA,0,NA,"N2O",2.15,4.2878,0,"ppm",NA,-0.0294972755581694,NA,-82.3095585216851,NA,NA,0,0
96,84,"Blank","Internal Gas","Blank","","","","F241010s96.CHR","10/10/2024","22:41:09","CH4",1.366,0.3814,1.9676,"ppm","CO2",1.863,106.8264,185.2428,"ppm","E241010s96.CHR","10/10/2024","22:41:09","O2",1.206,696.074,0,NA,"N2O",2.16,59.6517,0.0457,"ppm",163783.209463726,0.200660519552003,1.07062621303154,222.055641595627,210000,3.21187863909461,666.166924786882,0.601981558656009
97,85,"WPX22S","Internal Gas","Sample","Pinus strobus","WPX22","sapwood","F241010s97.CHR","10/10/2024","22:46:34","CH4",1.356,3.1624,13.996,"ppm","CO2",1.86,3973.8442,14476.7601,"ppm","E241010s97.CHR","10/10/2024","22:46:34","O2",1.193,412.8598,0,NA,"N2O",2.15,82.7342,0.1403,"ppm",44193.6180775836,0.296618667472048,14.4200944034999,16667.0562998801,132580.854232751,43.2602832104998,50001.1688996404,0.889856002416143
98,86,"Blank","Internal Gas","Blank","","","","F241010s98.CHR","10/10/2024","22:51:58","CH4",1.366,1.2494,5.7218,"ppm","CO2",1.866,117.0247,222.9331,"ppm","E241010s98.CHR","10/10/2024","22:51:58","O2",1.2,727.208,0,NA,"N2O",2.166,58.605,0.0414,"ppm",186309.233547099,0.196309197406312,5.23723476726619,256.436087547422,210000,15.7117043017986,769.308262642265,0.588927592218937
99,87,"WPX22H","Internal Gas","Sample","Pinus strobus","WPX22","heartwood","F241010s99.CHR","10/10/2024","22:57:23","CH4",1.363,0.3922,2.0143,"ppm","CO2",1.856,59.8146,11.4991,"ppm","E241010s99.CHR","10/10/2024","22:57:23","O2",1.203,369.6886,0,NA,"N2O",2.153,29.5452,0,"ppm",25964.2137339827,0.0755023269665023,1.12246880794598,63.5697518888566,77892.6412019482,3.36740642383793,190.70925566657,0.226506980899507
100,88,"Blank","Internal Gas","Blank","","","","F241010s100.CHR","10/10/2024","23:02:49","CH4",1.356,0.378,1.9529,"ppm","CO2",1.853,104.9686,178.3768,"ppm","E241010s100.CHR","10/10/2024","23:02:49","O2",1.193,677.4038,0,NA,"N2O",2.15,57.551,0.0371,"ppm",155899.559600487,0.191927527833791,1.05430539611403,215.792637713682,210000,3.16291618834208,647.377913141046,0.575782583501372
101,89,"WPX3S","Internal Gas","Sample","Pinus strobus","WPX3","sapwood","F241010s101.CHR","10/10/2024","23:08:13","CH4",1.356,0.4215,2.141,"ppm","CO2",1.856,1780.0932,6369.2126,"ppm","E241010s101.CHR","10/10/2024","23:08:13","O2",1.196,336.6086,0,NA,"N2O",2.15,48.02,0,"ppm",11995.9039421234,0.152305428502005,1.26311584785274,6869.77186254093,35987.7118263702,3.78934754355823,20609.3155876228,0.456916285506015
102,90,"Blank","Internal Gas","Blank","","","","F241010s102.CHR","10/10/2024","23:13:39","CH4",1.366,1.0572,4.8905,"ppm","CO2",1.87,111.524,202.6039,"ppm","E241010s102.CHR","10/10/2024","23:13:39","O2",1.2,746.453,0,NA,"N2O",2.17,61.9812,0.0553,"ppm",195674.362943337,0.210344674456357,4.31462858739994,237.892161692423,210000,12.9438857621998,713.676485077269,0.63103402336907
103,91,"WPX3H","Internal Gas","Sample","Pinus strobus","WPX3","heartwood","F241010s103.CHR","10/10/2024","23:19:04","CH4",1.363,0.8802,4.125,"ppm","CO2",1.863,3537.5713,12864.406,"ppm","E241010s103.CHR","10/10/2024","23:19:04","O2",1.203,368.9195,0,NA,"N2O",2.15,77.6463,0.1195,"ppm",25639.4547539066,0.275467342407501,3.4649860596355,14718.6630257105,76918.3642617197,10.3949581789065,44155.9890771316,0.826402027222503
104,92,"Blank","Internal Gas","Blank","","","","F241010s104.CHR","10/10/2024","23:24:29","CH4",1.366,1.3259,6.0527,"ppm","CO2",1.863,115.0938,215.797,"ppm","E241010s104.CHR","10/10/2024","23:24:29","O2",1.206,697.2618,0,NA,"N2O",2.16,60.6084,0.0497,"ppm",164284.768060183,0.204637695339509,5.60445314791014,249.92664939711,210000,16.8133594437304,749.779948191331,0.613913086018527
105,93,"WPX4S","Internal Gas","Sample","Pinus strobus","WPX4","sapwood","F241010s105.CHR","10/10/2024","23:29:54","CH4",1.363,0.5388,2.6483,"ppm","CO2",1.856,72.0109,56.5735,"ppm","E241010s105.CHR","10/10/2024","23:29:54","O2",1.203,318.4419,0,NA,"N2O",2.15,27.5384,0,"ppm",4324.86121250516,0.0671596946153296,1.82618403150681,104.685843096398,12974.5836375155,5.47855209452042,314.057529289194,0.201479083845989
106,94,"Blank","Internal Gas","Blank","","","","F241010s106.CHR","10/10/2024","23:35:18","CH4",1.356,0.3472,1.8196,"ppm","CO2",1.85,105.24,179.3798,"ppm","E241010s106.CHR","10/10/2024","23:35:18","O2",1.196,676.0714,0,NA,"N2O",2.146,57.5922,0.0373,"ppm",155336.942430998,0.192098803722204,0.906457995802474,216.70757971689,210000,2.71937398740742,650.12273915067,0.576296411166613
107,95,"WPX4H","Internal Gas","Sample","Pinus strobus","WPX4","heartwood","F241010s107.CHR","10/10/2024","23:40:43","CH4",1.353,35.2336,152.711,"ppm","CO2",1.853,2455.2032,8864.248,"ppm","E241010s107.CHR","10/10/2024","23:40:43","O2",1.2,286.8446,0,NA,"N2O",2.14,61.6758,0.054,"ppm",-9017.36596362291,0.209075071147583,81.6662230884984,9884.81080565347,0,244.998669265495,29654.4324169604,0.627225213442748
108,96,"Blank","Internal Gas","Blank","","","","F241010s108.CHR","10/10/2024","23:46:07","CH4",1.366,1.075,4.9675,"ppm","CO2",1.856,113.3441,209.3305,"ppm","E241010s108.CHR","10/10/2024","23:46:07","O2",1.203,693.6348,0,NA,"N2O",2.156,60.018,0.0472,"ppm",162753.236632883,0.202183295229816,4.40007286420337,244.02807156729,210000,13.2002185926101,732.084214701871,0.606549885689448
109,97,"WPX5S","Internal Gas","Sample","Pinus strobus","WPX5","sapwood","F241010s109.CHR","10/10/2024","23:51:33","CH4",1.356,0.3594,1.8724,"ppm","CO2",1.846,61.7414,18.62,"ppm","E241010s109.CHR","10/10/2024","23:51:33","O2",1.203,286.8169,0,NA,"N2O",2.15,23.0474,0,"ppm",-9029.06252291055,0.0484897913419008,0.965020927094712,70.0653681444989,0,2.89506278128414,210.196104433497,0.145469374025702
110,98,"Blank","Internal Gas","Blank","","","","F241010s110.CHR","10/10/2024","23:56:57","CH4",1.353,0.4107,2.0943,"ppm","CO2",1.85,105.2169,179.2945,"ppm","E241010s110.CHR","10/10/2024","23:56:57","O2",1.196,675.8751,0,NA,"N2O",2.15,57.6488,0.0375,"ppm",155254.053095686,0.192334100209685,1.2112732529383,216.629705139609,210000,3.63381975881491,649.889115418827,0.577002300629055
111,99,"WPX5H","Internal Gas","Sample","Pinus strobus","WPX5","heartwood","F241010s111.CHR","10/11/2024","0:02:22","CH4",1.356,0.3724,1.9286,"ppm","CO2",1.853,1067.529,3735.756,"ppm","E241010s111.CHR","10/11/2024","0:02:22","O2",1.193,253.7414,0,NA,"N2O",2.146,29.7464,0,"ppm",-22995.4721517087,0.0763387519361336,1.02742405060284,3687.46259076622,0,3.08227215180851,11062.3877722987,0.229016255808401
112,100,"Blank","Internal Gas","Blank","","","","F241010s112.CHR","10/11/2024","0:07:47","CH4",1.37,0.3908,2.0082,"ppm","CO2",1.863,109.8382,196.3736,"ppm","E241010s112.CHR","10/11/2024","0:07:47","O2",1.206,690.4715,0,NA,"N2O",2.16,62.8314,0.0588,"ppm",161417.506452575,0.213879110386677,1.11574847156818,232.209003147809,210000,3.34724541470453,696.627009443427,0.641637331160032
113,101,"BBX1S","Internal Gas","Sample","Betula lenta","BBX1","sapwood","F241010s113.CHR","10/11/2024","0:13:12","CH4",1.366,0.3766,1.9468,"ppm","CO2",1.86,52.1309,0,"ppm","E241010s113.CHR","10/11/2024","0:13:12","O2",1.203,338.2738,0,NA,"N2O",2.153,24.9406,0,"ppm",12699.0487264464,0.056360167845409,1.04758505973623,37.6665099210971,38097.1461793391,3.14275517920869,112.999529763291,0.169080503536227
114,102,"Blank","Internal Gas","Blank","","","","F241010s114.CHR","10/11/2024","0:18:36","CH4",1.356,0.4418,2.2288,"ppm","CO2",1.85,111.7392,203.3992,"ppm","E241010s114.CHR","10/11/2024","0:18:36","O2",1.196,687.8758,0,NA,"N2O",2.15,58.849,0.0424,"ppm",160321.450173049,0.197323549755169,1.36056072533081,238.617642602852,210000,4.08168217599244,715.852927808555,0.591970649265507
115,103,"BBX1H","Internal Gas","Sample","Betula lenta","BBX1","heartwood","F241010s115.CHR","10/11/2024","0:24:01","CH4",1.363,0.4254,2.1579,"ppm","CO2",1.86,5017.1374,18332.5072,"ppm","E241010s115.CHR","10/11/2024","0:24:01","O2",1.203,317.0446,0,NA,"N2O",2.15,85.0147,0.1497,"ppm",3734.83946909026,0.306099120470278,1.28183678490518,21326.400150637,11204.5184072708,3.84551035471554,63979.2004519111,0.918297361410835
116,104,"Blank","Internal Gas","Blank","","","","F241010s116.CHR","10/11/2024","0:29:26","CH4",1.356,1.58,7.1518,"ppm","CO2",1.853,123.3772,246.4103,"ppm","E241010s116.CHR","10/11/2024","0:29:26","O2",1.196,692.125,0,NA,"N2O",2.15,62.9214,0.0591,"ppm",162115.710812939,0.214253256744862,6.82419420048045,277.851596299741,210000,20.4725826014413,833.554788899222,0.642759770234587
117,105,"BBGT1S","Internal Gas","Sample","Betula lenta","BBGT1","sapwood","F241010s117.CHR","10/11/2024","0:34:50","CH4",1.356,0.4838,2.4105,"ppm","CO2",1.853,2180.6343,7849.5109,"ppm","E241010s117.CHR","10/11/2024","0:34:50","O2",1.196,398.3472,0,NA,"N2O",2.143,61.4418,0.0531,"ppm",38065.5499794779,0.208102290616302,1.56217081666475,8658.58704053731,114196.649938434,4.68651244999424,25975.7611216119,0.624306871848905
118,106,"Blank","Internal Gas","Blank","","","","F241010s118.CHR","10/11/2024","0:40:15","CH4",1.366,0.8,3.7781,"ppm","CO2",1.856,111.628,202.9883,"ppm","E241010s118.CHR","10/11/2024","0:40:15","O2",1.206,669.826,0,NA,"N2O",2.156,56.6306,0.0333,"ppm",152699.769457175,0.188101257744086,3.08000678999309,238.242765849879,210000,9.24002036997926,714.728297549638,0.564303773232258
119,107,"BBGT1H","Internal Gas","Sample","Betula lenta","BBGT1","heartwood","F241010s119.CHR","10/11/2024","0:45:40","CH4",1.356,0.4532,2.2781,"ppm","CO2",1.853,1881.5492,6744.1682,"ppm","E241010s119.CHR","10/11/2024","0:45:40","O2",1.196,395.9534,0,NA,"N2O",2.14,57.4456,0.0367,"ppm",37054.7476826292,0.191489360876539,1.41528346440717,7322.87401035748,111164.243047888,4.2458503932215,21968.6220310724,0.574468082629616
120,108,"Blank","Internal Gas","Blank","","","","F241010s120.CHR","10/11/2024","0:51:05","CH4",1.356,0.3982,2.0402,"ppm","CO2",1.85,112.4154,205.8983,"ppm","E241010s120.CHR","10/11/2024","0:51:05","O2",1.196,683.1009,0,NA,"N2O",2.146,63.7056,0.0623,"ppm",158305.208261769,0.21751331867918,1.15127024956511,240.897243865082,210000,3.45381074869533,722.691731595246,0.652539956037541
121,109,"HX3S","Internal Gas","Sample","Tsuga canadensis","HX3","sapwood","F241010s121.CHR","10/11/2024","0:56:30","CH4",1.356,0.3876,1.9944,"ppm","CO2",1.853,1585.9238,5651.6117,"ppm","E241010s121.CHR","10/11/2024","0:56:30","O2",1.193,368.183,0,NA,"N2O",2.14,46.2309,0,"ppm",25328.4613995624,0.144867814619464,1.10038770270464,6002.61198850441,75985.3841986872,3.30116310811392,18007.8359655132,0.434603443858392
122,110,"Blank","Internal Gas","Blank","","","","F241010s122.CHR","10/11/2024","1:01:55","CH4",1.363,0.3708,1.9217,"ppm","CO2",1.856,112.1634,204.967,"ppm","E241010s122.CHR","10/11/2024","1:01:55","O2",1.206,661.1027,0,NA,"N2O",2.15,60.3818,0.0487,"ppm",149016.282250182,0.203695677953235,1.01974366617107,240.047703022015,210000,3.0592309985132,720.143109066044,0.611087033859704
123,111,"HX3H","Internal Gas","Sample","Tsuga canadensis","HX3","heartwood","F241010s123.CHR","10/11/2024","1:07:20","CH4",1.36,0.338,1.7798,"ppm","CO2",1.85,49.752,0,"ppm","E241010s123.CHR","10/11/2024","1:07:20","O2",1.193,308.0048,0,NA,"N2O",2.15,22.7525,0,"ppm",-82.292539871356,0.0472638384415814,0.862295785319803,29.6467769386664,0,2.58688735595941,88.9403308159991,0.141791515324744
124,112,"Blank","Internal Gas","Blank","","","","F241010s124.CHR","10/11/2024","1:12:45","CH4",1.37,0.4616,2.3144,"ppm","CO2",1.863,110.6808,199.4876,"ppm","E241010s124.CHR","10/11/2024","1:12:45","O2",1.2,752.8224,0,NA,"N2O",2.163,59.5679,0.0454,"ppm",198773.882567987,0.200312147720715,1.45560548267395,235.04957106197,210000,4.36681644802186,705.148713185908,0.600936443162146
125,113,"HX4S","Internal Gas","Sample","Tsuga canadensis","HX4","sapwood","F241010s125.CHR","10/11/2024","1:18:10","CH4",1.356,0.3932,2.0186,"ppm","CO2",1.853,1624.3946,5793.79,"ppm","E241010s125.CHR","10/11/2024","1:18:10","O2",1.196,324.2406,0,NA,"N2O",2.143,45.0886,0,"ppm",6773.41133312347,0.140119065897746,1.12726904821583,6174.42244927776,20320.2339993704,3.38180714464749,18523.2673478333,0.420357197693237
126,114,"Blank","Internal Gas","Blank","","","","F241010s126.CHR","10/11/2024","1:23:34","CH4",1.363,0.429,2.1734,"ppm","CO2",1.853,111.7123,203.2998,"ppm","E241010s126.CHR","10/11/2024","1:23:34","O2",1.203,678.0673,0,NA,"N2O",2.153,60.9223,0.0509,"ppm",156179.728087394,0.205942634693223,1.29911764987666,238.526957489048,210000,3.89735294962999,715.580872467144,0.617827904079669
127,115,"HX4H","Internal Gas","Sample","Tsuga canadensis","HX4","heartwood","F241010s127.CHR","10/11/2024","1:28:59","CH4",1.356,0.367,1.9053,"ppm","CO2",1.853,2506.9884,9055.6329,"ppm","E241010s127.CHR","10/11/2024","1:28:59","O2",1.193,383.9346,0,NA,"N2O",2.14,60.0251,0.0473,"ppm",31979.7077271758,0.202212811220295,1.00150275314561,10116.0833311336,95939.1231815274,3.00450825943684,30348.2499934007,0.606638433660885
128,116,"Blank","Internal Gas","Blank","","","","F241010s128.CHR","10/11/2024","1:34:24","CH4",1.36,0.4395,2.2189,"ppm","CO2",1.85,115.3328,216.6803,"ppm","E241010s128.CHR","10/11/2024","1:34:24","O2",1.2,678.6546,0,NA,"N2O",2.146,60.8873,0.0508,"ppm",156427.720479799,0.205797133331707,1.34952017271015,250.732364720496,210000,4.04856051813044,752.197094161487,0.61739139999512
129,117,"HX5S","Internal Gas","Sample","Tsuga canadensis","HX5","sapwood","F241010s129.CHR","10/11/2024","1:39:49","CH4",1.356,0.3214,1.708,"ppm","CO2",1.853,1674.6896,5979.6676,"ppm","E241010s129.CHR","10/11/2024","1:39:49","O2",1.196,379.0969,0,NA,"N2O",2.143,52.7602,0.0175,"ppm",29936.9479847309,0.17201130146943,0.7826117968402,6399.03974667203,89810.8439541927,2.3478353905206,19197.1192400161,0.516033904408291
130,118,"Blank","Internal Gas","Blank","","","","F241010s130.CHR","10/11/2024","1:45:13","CH4",1.366,0.5462,2.6804,"ppm","CO2",1.86,111.2678,201.657,"ppm","E241010s130.CHR","10/11/2024","1:45:13","O2",1.196,713.4914,0,NA,"N2O",2.153,57.7266,0.0378,"ppm",179634.370783969,0.192657528950427,1.86170580950374,237.028461835305,210000,5.58511742851121,711.085385505914,0.577972586851281
131,119,"HX5H","Internal Gas","Sample","Tsuga canadensis","HX5","heartwood","F241010s131.CHR","10/11/2024","1:50:38","CH4",1.363,0.4144,2.1103,"ppm","CO2",1.863,1972.1612,7079.0472,"ppm","E241010s131.CHR","10/11/2024","1:50:38","O2",1.196,437.2801,0,NA,"N2O",2.153,57.7334,0.0379,"ppm",54505.2963003811,0.192685797786379,1.22903414193677,7727.54689138918,163515.888901143,3.68710242581031,23182.6406741675,0.578057393359137
132,120,"Blank","Internal Gas","Blank","","","","F241010s132.CHR","10/11/2024","1:56:03","CH4",1.363,0.5267,2.596,"ppm","CO2",1.856,118.2044,227.293,"ppm","E241010s132.CHR","10/11/2024","1:56:03","O2",1.206,682.4572,0,NA,"N2O",2.153,62.3325,0.0567,"ppm",158033.40049233,0.211805092407805,1.76810112424155,260.413084898876,210000,5.30430337272466,781.239254696627,0.635415277223416
133,121,"HZ1S","Internal Gas","Sample","Tsuga canadensis","HZ1","sapwood","F241010s133.CHR","10/11/2024","2:01:28","CH4",1.356,0.422,2.1432,"ppm","CO2",1.853,2379.9714,8586.2103,"ppm","E241010s133.CHR","10/11/2024","2:01:28","O2",1.196,391.229,0,NA,"N2O",2.14,61.7612,0.0544,"ppm",35059.8298234799,0.209430094469682,1.26551596798767,9548.82584503897,105179.48947044,3.79654790396302,28646.4775351169,0.628290283409047
134,122,"Blank","Internal Gas","Blank","","","","F241010s134.CHR","10/11/2024","2:06:53","CH4",1.363,0.4181,2.1263,"ppm","CO2",1.853,117.9342,226.2944,"ppm","E241010s134.CHR","10/11/2024","2:06:53","O2",1.203,682.7868,0,NA,"N2O",2.153,59.7606,0.0462,"ppm",158172.576880099,0.201113236645407,1.24679503093524,259.502188328254,210000,3.74038509280571,778.50656498476,0.603339709936221
135,123,"HZ1H","Internal Gas","Sample","Tsuga canadensis","HZ1","heartwood","F241010s135.CHR","10/11/2024","2:12:18","CH4",1.356,0.418,2.1259,"ppm","CO2",1.853,4847.6383,17706.0815,"ppm","E241010s135.CHR","10/11/2024","2:12:18","O2",1.193,356.1134,0,NA,"N2O",2.14,83.1803,0.1422,"ppm",20231.9707144407,0.298473186254118,1.24631500690825,20569.4177517353,60695.9121433222,3.73894502072475,61708.253255206,0.895419558762353
136,124,"Blank","Internal Gas","Blank","","","","F241010s136.CHR","10/11/2024","2:17:43","CH4",1.363,1.5038,6.8222,"ppm","CO2",1.856,129.3672,268.5478,"ppm","E241010s136.CHR","10/11/2024","2:17:43","O2",1.206,685.0032,0,NA,"N2O",2.15,61.3042,0.0525,"ppm",159108.470526492,0.207530262406454,6.45841589191745,298.045047291695,210000,19.3752476757523,894.135141875084,0.622590787219363
137,125,"BBZ1S","Internal Gas","Sample","Betula lenta","BBZ1","sapwood","F241010s137.CHR","10/11/2024","2:23:07","CH4",1.353,0.9293,4.3373,"ppm","CO2",1.853,2469.5208,8917.1622,"ppm","E241010s137.CHR","10/11/2024","2:23:07","O2",1.193,404.2484,0,NA,"N2O",2.14,65.1224,0.0682,"ppm",40557.381592045,0.223403213793363,3.70067785688541,9948.75315811738,121672.144776135,11.1020335706562,29846.2594743521,0.670209641380089
